order,id,parent,train_bank,seeds,change,critic_objective,gradient_ratio,test_access
0,B0,corrected_v2,pilot,declared_existing,corrected_scheduler_only,none,0,none
1,S1-axis,B0,pilot,one,incident_axis_features,none,0,none
2,S2-response,S1-axis,pilot,one,bounded_positive_response_spline,none,0,none
3,S3-first,S2-response,pilot,one,hierarchical_ecal_hcal_first,none,0,none
4,S4-activity-span,S3-first,pilot,one,span_gap_activity,none,0,none
5,S4-activity-ar,S3-first,pilot,one,autoregressive_activity,none,0,none
6,S5-count-ar,selected_S4,pilot,one,autoregressive_counts,none,0,none
7,S6-temp-025,S5-count-ar,pilot,one,support_temperature_0.25,none,0,none
8,S6-temp-050,S5-count-ar,pilot,one,support_temperature_0.50,none,0,none
9,S6-temp-100,S5-count-ar,pilot,one,support_temperature_1.00,none,0,none
10,S6-temp-200,S5-count-ar,pilot,one,support_temperature_2.00,none,0,none
11,S7-ot-profile,selected_S6,pilot,one,profile_OT_CFM,none,0,none
12,V3-SUP,retained_supervised,critic_generator_partition,one,composite_supervised,none,0,none
13,C0,V3-SUP,critic_generator_partition,one,partition_matched_no_critic,none,0,none
14,D1-feature-r05,C0,critic_generator_partition,one,share_critic,feature_matching,0.05,none
15,D1-direct-r05,C0,critic_generator_partition,one,share_critic,direct_non_saturating,0.05,none
16,D1-direct-r10,C0,critic_generator_partition,one,share_critic,direct_non_saturating,0.10,none
17,D1-direct-r20,C0,critic_generator_partition,one,share_critic,direct_non_saturating,0.20,none
18,D2-feature-r05,C0,critic_generator_partition,one,profile_critic,feature_matching,0.05,none
19,D2-direct-r05,C0,critic_generator_partition,one,profile_critic,direct_non_saturating,0.05,none
20,D2-direct-r10,C0,critic_generator_partition,one,profile_critic,direct_non_saturating,0.10,none
21,D2-direct-r20,C0,critic_generator_partition,one,profile_critic,direct_non_saturating,0.20,none
22,D1-selected-3seed,C0,critic_generator_partition,20260723|20260724|20260725,selected_share_critic,selected,selected,none
23,D2-selected-3seed,C0,critic_generator_partition,20260723|20260724|20260725,selected_profile_critic,selected,selected,none
24,D12,selected_D1_D2,critic_generator_partition,three_if_declared,combined_only_after_independent_replication,selected,separate_per_module,none
25,D3-triggered,selected_supervised,critic_generator_partition,one,support_estimator_and_critic,selected,screen,none
26,FINAL-V3-SUP,retained_supervised,full_train,20260723|20260724|20260725,final_supervised,none,0,once_after_freeze
27,FINAL-V3-CRITIC,retained_critic,full_train,20260723|20260724|20260725,final_critic_if_retained,selected,selected,once_after_freeze

